"file","before","after","level","model","country","feature","meaning","n"
"t64b1m_3.jpg","tanks_clear.jpg","tanks+comment.jpg","Складний","T-64B1M","Україна","Маленькі коліщата (менше половини висоти гусениці), 6 штук","T-64",1
"t64-17-lbtz-001-e1565627227434-800x520.jpg","tanks_clear2.jpg","tanks+comment2.jpg","Легкий","T-64BV 2017","Україна","Маленькі коліщата (менше половини висоти гусениці), 6 штук","T-64",1
"t-64bv_ua.png","tanks_clear3.jpg","tanks+comment3.jpg","Легкий","T-64BV","Україна/Росія","Маленькі коліщата (менше половини висоти гусениці), 6 штук","T-64",1
"t-72b1.jpg","tanks_clear4.jpg","tanks+comment4.jpg","Складний","T-72B1","Росія","Великі коліщата, 6 штук. Відстань між ними - однакова","",1
"t-72b3.jpg","tanks_clear5.jpg","tanks+comment5.jpg","Легкий","T-72B3","Росія","Великі коліщата, 6 штук. Відстань між ними - однакова","",1
"t-72b3obr2016_3.jpg","tanks_clear6.jpg","tanks+comment6.jpg","Складний","T-72B3 2016","Росія","Великі коліщата, 6 штук. Відстань між ними - однакова","",1
"t-72b3obr2016_2.jpg","tanks_clear7.jpg","tanks+comment7.jpg","Складний","T-80BVM","Росія","Великі коліщата, 6 штук, відстань між 3 і 4 - менша, ніж між іншими","T-80",1
"t-72b3obr2016.jpg","tanks_clear8.jpg","tanks+comment8.jpg","Складний","T-72B3 2016","Росія","Великі коліщата, 6 штук. Відстань між ними - однакова","",1
"t55.jpg","tanks_clear9.jpg","tanks+comment9.jpg","Легкий","T-55","Росія","Великі коліщата, 5 штук. Відстань між першим і другим -- велика","старий танк T-55",1
"t62_l3.jpg","tanks_clear10.jpg","tanks+comment10.jpg","Легкий","T-62","Росія","Великі коліщата, 5 штук. Відстань між ними однакова","старий танк T-62",1
"t72b3_l4.jpg","tanks_clear11.jpg","tanks+comment11.jpg","Легкий","T-72B3","Росія","Великі коліщата, 6 штук. Відстань між ними - однакова","",1
"t80bvm_l1.jpg","tanks_clear15.jpg","tanks+comment15.jpg","Легкий","T-80BVM","Росія","Великі коліщата, 6 штук, відстань між 3 і 4 - менша, ніж між іншими","T-80",1
"t80bvm_l2.jpg","tanks_clear16.jpg","tanks+comment16.jpg","Складний","T-80BVM","Росія","Великі коліщата, 6 штук, відстань між 3 і 4 - менша, ніж між іншими","T-80",1
"t90ms_tagil_l2.jpg","tanks_clear17.jpg","tanks+comment17.jpg","Складний","T-90MS","Росія","Великі коліщата, 6 штук. Відстань між ними - однакова","",1
"t90ms_tagil_l3.jpg","tanks_clear18.jpg","tanks+comment18.jpg","Складний","T-90MS","Росія","Великі коліщата, 6 штук. Відстань між ними - однакова","",1
"t64b1m_l4.jpg","tanks_clear20.jpg","tanks+comment20.jpg","Легкий","T-64B1M","Україна","Вихлопний отвір з решіткою ззаду танка","T-64 або T-80",1
"oplot_l5.jpg","tanks_clear21.jpg","tanks+comment21.jpg","Складний","T-84 Oplot","Україна","Широка башта із характериним листами броні, які роблять силует більш круглим, ","",1
"oplot_m_l7.jpg","tanks_clear22.jpg","tanks+comment22.jpg","Легкий","T-84 Oplot M","Україна","Вихлопний отвір з решіткою ззаду танка","Т-80, Т-84 або Т-64",1
"t64bm_bulat_l5.jpg","tanks_clear23.jpg","tanks+comment23.jpg","Легкий","T-64 BM Bulat","Україна","6 маленьких коліщат","Т-64",1
"t64bm_bulat_l6.jpg","tanks_clear24.jpg","tanks+comment24.jpg","Складний","T-64 BM Bulat","Україна","Башта із характериним листами броні, які роблять силует більш круглим, немає круглих ""прожекторів"" на сторонах башти","T-64 BM Bulat",1
"1549882285-374-t-64-2017.jpg","tanks_clear25.jpg","tanks+comment25.jpg","Легкий","T-64 BV 2017","Україна","Шість маленьких коліщат","Т-64",1
"630_360_1549882267-540-t-64-2017.jpg","tanks_clear26.jpg","tanks+comment26.jpg","Легкий","T-64 BV 2017","Україна","Шість маленьких коліщат","Т-64",1
"t-64bv-fn-2019-08-13-09-05-39-0.jpg","tanks_clear27.jpg","tanks+comment27.jpg","Легкий","T-64 BV","Україна/Росія","Шість маленьких коліщат","Т-64",1
"t64b1m_3.jpg","tanks_clear.jpg","tanks+comment.jpg","Складний","T-64B1M","Україна","Пласка башта, реактивна броня повністю інтегрована в неї (практично не видно окремих складових)","Відносно недавня модифікація танка T-64: B1M або BM1M",2
"t64-17-lbtz-001-e1565627227434-800x520.jpg","tanks_clear2.jpg","tanks+comment2.jpg","Легкий","T-64BV 2017","Україна","Пласка башта, реактивні елементи у вигляді 8 складових з кожної сторони, щільно упаковані","Варіант 2017 року танку Т-64",2
"t-64bv_ua.png","tanks_clear3.jpg","tanks+comment3.jpg","Легкий","T-64BV","Україна/Росія","Круглий прожектор з правої сторони ","BV",2
"t-72b1.jpg","tanks_clear4.jpg","tanks+comment4.jpg","Складний","T-72B1","Росія","Круглий прожектор з лівої сторони від дула","Т-72",2
"t-72b3.jpg","tanks_clear5.jpg","tanks+comment5.jpg","Легкий","T-72B3","Росія","Реактивна броня на башті у вигляді крупних зубців (4-5 штук), з великими щілинами між окремими елементами","T-72",2
"t-72b3obr2016_3.jpg","tanks_clear6.jpg","tanks+comment6.jpg","Складний","T-72B3 2016","Росія","Реактивна броня на башті у вигляді крупних зубців (4-5 штук), з великими щілинами між окремими елементами","T-72",2
"t-72b3obr2016_2.jpg","tanks_clear7.jpg","tanks+comment7.jpg","Складний","T-80BVM","Росія","Реактивна броня на башті у вигляді крупних зубців (4-5 штук),без щілин між окремими елементами","T-80BVM",2
"t-72b3obr2016.jpg","tanks_clear8.jpg","tanks+comment8.jpg","Складний","T-72B3 2016","Росія","Реактивна броня на башті у вигляді крупних зубців (4-5 штук), з великими щілинами між окремими елементами","T-72",2
"t72b3_l4.jpg","tanks_clear11.jpg","tanks+comment11.jpg","Легкий","T-72B3","Росія","Реактивна броня на башті у вигляді крупних зубців (4-5 штук), з великими щілинами між окремими елементами","T-72",2
"t72b3_l1.jpg","tanks_clear12.jpg","tanks+comment12.jpg","Складний","T-72B3","Росія","Реактивна броня на башті у вигляді крупних зубців (4-5 штук), з великими щілинами між окремими елементами","T-72",2
"t72b4_l3.jpg","tanks_clear13.jpg","tanks+comment13.jpg","Складний","T-72B3","Росія","Реактивна броня на башті у вигляді крупних зубців (4-5 штук), з великими щілинами між окремими елементами","T-72",2
"t72b4_l1.jpg","tanks_clear14.jpg","tanks+comment14.jpg","Складний","T-72B3","Росія","Реактивна броня на башті у вигляді крупних зубців (4-5 штук), з великими щілинами між окремими елементами","T-72",2
"t80bvm_l1.jpg","tanks_clear15.jpg","tanks+comment15.jpg","Легкий","T-80BVM","Росія","Реактивна броня на башті у вигляді крупних зубців (4-5 штук),без щілин між окремими елементами","T-80BVM",2
"t80bvm_l2.jpg","tanks_clear16.jpg","tanks+comment16.jpg","Складний","T-80BVM","Росія","Реактивна броня на башті у вигляді крупних зубців (4-5 штук),без щілин між окремими елементами","T-80BVM",2
"t90ms_tagil_l2.jpg","tanks_clear17.jpg","tanks+comment17.jpg","Складний","T-90MS","Росія","Видовжена і широка башта, Реактивна броня на башті у вигляді середніх едементів у два ряди, нижній ряд 7 штук,без щілин між окремими елементами","T-90MS",2
"t90ms_tagil_l3.jpg","tanks_clear18.jpg","tanks+comment18.jpg","Складний","T-90MS","Росія","Видовжена і широка башта, Реактивна броня на башті у вигляді середніх едементів у два ряди, нижній ряд 7 штук,без щілин між окремими елементами","T-90MS",2
"t90m_l1.jpg","tanks_clear19.jpg","tanks+comment19.jpg","Складний","T-90M","Росія","Широка башта, Реактивна броня на башті у вигляді середніх едементів у два ряди, нижній ряд 7 штук,без щілин між окремими елементами","T-90M?",2
"t64b1m_l4.jpg","tanks_clear20.jpg","tanks+comment20.jpg","Легкий","T-64B1M","Україна","Пласка башта, реактивна броня повністю інтегрована в неї (практично не видно окремих складових), низький сілует","Відносно недавня модифікація танка T-64: B1M або BM1M",2
"oplot_l5.jpg","tanks_clear21.jpg","tanks+comment21.jpg","Складний","T-84 Oplot","Україна","два круглих випромінювача у квадратних коробках з боків башти","T-84 Oplot",2
"oplot_m_l7.jpg","tanks_clear22.jpg","tanks+comment22.jpg","Легкий","T-84 Oplot M","Україна","Дуже пласка і довга башта, геометричної форми, з вбудованим(непомітним) реактивним захистом","Т-84 Оплот М",2
